date,open,high,low,close,adjclose,volume
1998-10-13,63.0,63.0,62.0,62.0,0.4726,300.0
1998-10-16,61.0,61.0,60.0,60.0,0.4573,2000.0
1998-10-19,58.0,58.0,58.0,58.0,0.4421,350.0
1998-10-20,61.0,61.0,61.0,61.0,0.465,200.0
1998-10-23,63.0,63.0,63.0,63.0,0.4802,100.0
1998-10-26,61.5,61.5,57.5,60.0,0.4573,610.0
1998-10-30,61.0,61.0,61.0,61.0,0.465,210.0
1998-11-13,58.5,58.5,58.5,58.5,0.4458,25.0
1998-11-19,61.0,61.0,61.0,61.0,0.465,15.0
1998-11-20,60.0,60.0,60.0,60.0,0.4573,500.0
1998-11-23,65.0,65.0,65.0,65.0,0.4954,80.0
1998-11-30,58.1,58.1,58.1,58.1,0.4429,300.0
1998-12-21,61.0,61.0,61.0,61.0,0.465,100.0
1998-12-22,57.1,57.1,57.1,57.1,0.4352,100.0
1998-12-23,63.0,63.0,60.0,60.0,0.4573,53.0
1998-12-28,65.0,65.0,65.0,65.0,0.4954,20.0
1998-12-30,70.0,70.0,70.0,70.0,0.5335,70.0
1999-01-04,37.0,37.0,37.0,37.0,0.282,50.0
1999-01-06,36.0,36.0,36.0,36.0,0.2743,500.0
1999-01-07,36.0,36.0,36.0,36.0,0.2743,20.0
1999-01-08,38.0,41.0,38.0,40.2,0.3064,1700.0
1999-01-11,40.0,40.5,40.0,40.5,0.3087,1124.0
1999-01-12,40.0,40.5,39.7,39.7,0.3026,1551.0
1999-01-13,38.0,38.0,36.0,36.0,0.2743,160.0
1999-01-14,36.0,41.0,36.0,39.3,0.2995,1320.0
1999-01-18,39.0,39.0,34.11,34.11,0.26,112.0
1999-01-19,36.0,36.0,36.0,36.0,0.2743,55.0
1999-01-25,34.0,34.0,34.0,34.0,0.2592,600.0
1999-01-27,35.0,35.0,35.0,35.0,0.2668,17.0
1999-02-09,31.51,31.51,31.51,31.51,0.2402,550.0
1999-02-23,35.46,35.46,35.46,35.46,0.2703,3.0
1999-02-24,37.0,37.0,37.0,37.0,0.282,34.0
1999-03-02,31.0,31.0,31.0,31.0,0.2363,79.0
1999-03-11,30.47,30.47,30.47,30.47,0.2323,51.0
1999-03-23,32.94,32.94,32.94,32.94,0.251,10.0
1999-03-24,30.77,30.77,30.77,30.77,0.2345,30.0
1999-03-31,33.37,33.37,33.37,33.37,0.2544,5.0
1999-04-08,34.0,34.0,34.0,34.0,0.2592,15.0
1999-04-12,32.47,32.47,32.47,32.47,0.2475,25.0
1999-04-15,34.2,34.2,34.2,34.2,0.2607,50.0
1999-04-19,31.0,31.0,31.0,31.0,0.2363,125.0
1999-04-20,31.88,31.88,31.88,31.88,0.243,40.0
1999-04-22,30.5,30.5,30.5,30.5,0.2324,100.0
1999-04-26,35.82,35.82,35.82,35.82,0.273,75.0
1999-04-28,41.7,41.7,41.7,41.7,0.3178,79.0
1999-04-30,40.0,40.0,40.0,40.0,0.3049,50.0
1999-05-04,44.0,44.0,44.0,44.0,0.3354,517.0
1999-05-05,43.77,43.77,43.77,43.77,0.3336,5.0
1999-05-12,41.97,41.97,41.97,41.97,0.3198,65.0
1999-06-07,45.72,45.72,45.72,45.72,0.3484,20.0
1999-06-30,44.5,44.5,44.5,44.5,0.3391,29.0
1999-07-02,44.5,44.5,44.5,44.5,0.3391,200.0
1999-07-06,44.5,44.5,44.5,44.5,0.3391,71.0
1999-07-07,42.5,42.5,42.5,42.5,0.3239,314.0
1999-07-13,53.87,53.87,53.87,53.87,0.4106,50.0
1999-07-14,51.82,51.82,51.82,51.82,0.395,4.0
1999-07-15,58.0,58.0,58.0,58.0,0.4421,200.0
1999-07-19,51.0,51.0,51.0,51.0,0.3887,70.0
1999-07-22,51.67,51.67,51.67,51.67,0.3939,25.0
1999-07-23,56.0,56.0,56.0,56.0,0.4268,110.0
1999-07-27,46.72,46.72,46.72,46.72,0.3561,10.0
1999-07-29,51.17,51.17,51.17,51.17,0.39,40.0
1999-08-02,51.12,51.12,51.12,51.12,0.3896,25.0
1999-08-09,50.87,50.87,50.87,50.87,0.3877,10.0
1999-08-11,50.62,50.62,50.62,50.62,0.3858,90.0
1999-08-12,55.0,55.0,55.0,55.0,0.4192,25.0
1999-08-16,56.17,56.17,56.17,56.17,0.4281,24.0
1999-08-17,57.27,57.27,57.27,57.27,0.4365,50.0
1999-08-18,57.47,57.47,57.47,57.47,0.438,20.0
1999-08-27,59.27,59.27,59.27,59.27,0.4517,11.0
1999-08-30,59.05,59.05,59.05,59.05,0.45,230.0
1999-09-01,62.0,62.0,62.0,62.0,0.4726,100.0
1999-09-02,65.5,65.5,65.5,65.5,0.4992,150.0
1999-09-07,70.0,70.0,70.0,70.0,0.5335,20.0
1999-09-08,73.25,73.25,73.25,73.25,0.5583,80.0
1999-09-09,67.25,67.25,67.25,67.25,0.5126,600.0
