,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose,adjclose
,1COV.XETRA,ADS.XETRA,AIR.XETRA,ALV.XETRA,BAS.XETRA,BAYN.XETRA,BEI.XETRA,BMW.XETRA,BNR.XETRA,CON.XETRA,DB1.XETRA,DBK.XETRA,DPW.XETRA,DTE.XETRA,DTG.XETRA,EOAN.XETRA,FME.XETRA,FRE.XETRA,HEI.XETRA,HEN3.XETRA,HFG.XETRA,HNR1.XETRA,IFX.XETRA,LIN.XETRA,MBG.XETRA,MRK.XETRA,MTX.XETRA,MUV2.XETRA,PAH3.XETRA,PUM.XETRA,QIA.XETRA,RWE.XETRA,SAP.XETRA,SHL.XETRA,SIE.XETRA,SRT3.XETRA,SY1.XETRA,VNA.XETRA,VOW3.XETRA,ZAL.XETRA
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,,32.2325,11.8926,47.9955,25.6188,37.7635,40.8084,19.7111,,30.7827,40.4519,32.5742,8.7617,5.563,,14.2635,31.1827,12.5341,39.3626,29.6242,,21.0751,3.4868,43.5274,18.3373,27.2739,32.1321,58.7631,24.8593,22.1349,15.7927,41.8574,26.8744,,37.1309,3.7233,12.533,,46.8195,
2010-01-05,,33.2496,11.8077,48.1418,25.2304,37.0738,40.5931,19.871,,32.7084,40.3692,33.0998,8.7743,5.5158,,14.2732,30.2188,12.2463,39.6432,29.1078,,21.7308,3.6006,,18.1859,27.0732,32.0708,58.8716,25.6648,22.0613,15.5525,41.5904,26.6337,,37.1536,3.6006,12.537,,45.9121,
2010-01-06,,32.9817,11.8884,48.5159,25.3903,36.8395,40.5624,20.1785,,32.9224,39.8725,32.7536,8.8714,5.3793,,14.2147,30.157,12.1825,40.0841,29.36,,21.1697,3.5522,,18.1908,27.0564,31.9605,58.4918,26.1692,21.7076,15.7777,41.5114,27.1069,,37.2897,3.6341,12.9409,,47.1824,
2010-01-07,,33.2705,11.9903,47.9575,25.2218,36.3574,40.1538,20.3568,,37.1411,39.1689,32.9011,8.8526,5.277,,14.0978,29.9676,12.1655,40.5411,28.9116,,20.6023,3.4936,,17.932,27.6253,31.9932,58.6274,27.6798,21.5973,15.7827,41.3354,27.8249,,37.7321,3.5315,12.852,,47.7269,
2010-01-08,,33.1491,12.1857,47.6973,25.1447,36.036,38.994,20.0832,,37.8274,38.5273,34.0997,9.0626,5.3059,,14.244,29.7616,11.9103,41.006,28.6074,,20.5203,3.5514,,18.037,27.345,31.9973,58.5189,27.5164,21.3309,15.6826,41.2747,28.0207,,37.9703,3.5449,12.9732,,48.2422,
2010-01-11,,33.3584,12.2834,47.1607,24.8648,36.0293,39.7233,19.7849,,35.9704,38.8101,33.6895,9.0124,5.3426,,14.3073,30.1982,11.9245,41.2866,28.4833,,20.741,3.4494,,18.1664,27.4412,32.3283,58.736,27.717,21.1333,15.5825,41.7603,28.2899,,38.0667,3.9217,12.9247,,48.5979,
2010-01-12,,32.3078,11.9776,46.9601,23.9794,35.6878,38.4448,19.2098,,32.9789,37.9409,32.8177,8.8056,5.3006,,14.0685,30.0705,11.8536,40.1563,28.8236,,20.7536,3.3857,,17.7171,27.1736,31.5354,58.8987,26.9718,20.7336,15.3924,41.3354,28.0166,,37.6017,3.9685,12.8601,,47.3276,
2010-01-13,,31.8976,11.9649,47.0414,24.205,36.344,38.357,19.3267,,34.0729,37.9892,32.2665,8.9247,5.3321,,13.9711,30.4001,12.2449,40.8136,29.2719,,20.741,3.4927,,17.6707,27.1861,31.4414,58.953,27.1552,20.7198,15.6376,41.2444,28.3062,,37.9419,3.8637,13.0459,,46.0936,
