date,AMZN,BA,DIS,IBM,KO,MSFT
1997-05-15,0.0979,31.2394,20.9179,23.9244,17.8716,9.1905
1997-05-16,0.0865,30.8875,20.413,23.3912,17.6083,9.0581
1997-05-19,0.0854,30.4183,21.0125,23.2192,17.9045,9.0336
1997-05-20,0.0818,31.2785,21.0756,23.9072,18.0032,9.3474
1997-05-21,0.0714,32.0604,20.7285,24.0964,17.7399,9.4455
1997-05-22,0.0698,31.3958,20.7285,23.7352,17.5095,9.4651
1997-05-23,0.075,31.3567,21.0125,23.8556,17.9374,9.6417
1997-05-27,0.0792,31.8258,21.1387,24.664,18.0361,9.9359
1997-05-28,0.0766,32.4123,21.1702,24.8016,17.707,9.8771
1997-05-29,0.0753,32.9597,20.9179,24.148,17.7728,9.8771
1997-05-30,0.075,32.9597,20.6654,23.804,18.0361,9.73
1997-06-02,0.0755,32.9597,20.413,23.976,17.8057,9.7594
1997-06-03,0.074,32.8033,20.3499,23.2192,17.8716,9.4749
1997-06-04,0.0708,33.468,20.1607,22.944,17.5424,9.3523
1997-06-05,0.0771,33.7808,20.3815,22.8064,17.5095,9.4602
1997-06-06,0.0828,34.3672,20.5392,23.5632,17.8386,9.7349
1997-06-09,0.0844,35.0319,20.4446,23.9072,18.0361,9.8182
1997-06-10,0.0792,35.9702,20.6654,23.7352,18.0032,9.7937
1997-06-11,0.0771,35.5011,20.5392,23.976,18.0401,9.9654
1997-06-12,0.0802,35.9702,20.6023,24.2512,18.4689,9.9654
1997-06-13,0.0792,35.8921,21.0756,24.492,18.9636,10.1713
1997-06-16,0.0786,36.2048,21.1702,24.5608,18.8976,10.3087
1997-06-17,0.0753,35.5011,21.2018,24.7328,18.8976,10.5293
1997-06-18,0.0755,35.4229,20.8231,24.492,18.8317,10.2155
1997-06-19,0.0755,35.3447,21.0441,24.664,18.8646,10.1468
1997-06-20,0.0763,35.5793,20.7601,24.7328,18.8317,10.191
1997-06-23,0.075,34.1717,20.3499,24.148,18.4029,10.0487
1997-06-24,0.0755,34.4454,20.8231,25.2659,18.5514,10.3626
1997-06-25,0.0755,34.2499,20.697,25.2832,18.3205,10.2351
1997-06-26,0.0755,33.6244,20.5866,24.9392,18.4359,10.0634
1997-06-27,0.0745,33.1552,20.1764,25.1111,18.7327,10.0046
1997-06-30,0.0771,33.1943,20.2553,24.8359,17.9412,9.9163
1997-07-01,0.0758,33.8199,19.8294,25.2659,18.1061,9.8035
1997-07-02,0.0794,34.289,19.4035,25.7131,18.5843,10.0733
1997-07-03,0.0956,34.5236,19.4981,26.0915,18.6668,10.1664
1997-07-07,0.1,34.7582,19.1825,26.0055,18.4359,10.1615
1997-07-08,0.1151,35.1101,19.7032,26.3495,18.6173,10.2988
1997-07-09,0.1161,35.1883,19.4843,26.4699,18.304,10.2596
1997-07-10,0.1281,34.6018,19.4369,26.3495,18.3699,10.191
1997-07-11,0.1146,35.3447,19.3263,26.3495,18.4194,10.1811
1997-07-14,0.1068,35.7357,19.5633,26.2119,18.4029,10.6667
1997-07-15,0.1219,36.3221,19.7055,26.4183,18.5019,10.8653
1997-07-16,0.1167,37.3387,19.9425,26.8655,18.6997,11.6475
1997-07-17,0.1109,35.5011,19.6581,27.4159,18.4359,11.7309
1997-07-18,0.1078,35.071,19.184,28.7574,18.271,11.0247
1997-07-21,0.1091,34.0153,19.0103,28.551,18.0237,10.6667
1997-07-22,0.1068,35.2665,19.6265,28.3447,18.5019,11.3091
1997-07-23,0.1146,36.9477,19.7055,28.9295,18.2216,11.0982
1997-07-24,0.113,37.5342,20.0532,29.669,18.5184,10.8285
1997-07-25,0.1115,36.8304,19.9741,29.4454,18.5019,10.8677
1997-07-28,0.1161,36.3221,20.1322,28.895,18.3865,10.75
